City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
624,Kaabong,UG,78.85,scattered clouds,3.4836,34.1492,Rock Motel Ltd
627,Pundaguitan,PH,81.39,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
632,Madang,PG,76.5,moderate rain,-5.2246,145.7966,Comfort Inn Hotel
638,Bac Lieu,VN,75.99,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
640,Acajutla,SV,77.0,clear sky,13.5928,-89.8275,asi es
643,Manzanillo,CU,85.06,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
645,Tamasane,BW,82.4,light rain,-22.4184,27.4013,
646,Le Port,RE,80.6,light rain,-20.9373,55.2919,Villa Maido
649,Chokwe,MZ,79.75,overcast clouds,-24.5333,32.9833,Complexo Sonho Real
650,Salta,AR,77.0,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
654,Santa Cruz,BO,86.0,few clouds,-17.8,-63.1667,Hotel Cortez
655,Innisfail,AU,77.22,overcast clouds,-17.5333,146.0333,Moondarra Motel
656,Chuy,UY,79.66,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
657,Bubaque,GW,79.92,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
660,Ciudad Bolivar,VE,90.0,overcast clouds,8.1222,-63.5497,Hotel Edi
663,Sechura,PE,80.38,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
665,Canutama,BR,79.56,overcast clouds,-6.5339,-64.3831,Hotel Jhennifer
667,The Valley,AI,78.8,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
671,Banda Aceh,ID,78.94,moderate rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
675,Tigre,AR,87.01,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
677,Kabalo,CD,76.57,light rain,-6.05,26.9167,
679,Pak Phanang,TH,77.61,broken clouds,8.3511,100.20200000000001,Green Park Inn Hotel
680,Pontes E Lacerda,BR,89.74,scattered clouds,-15.2261,-59.3353,Hotel Bressan
683,Mareeba,AU,78.8,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
684,San Rafael,AR,87.55,clear sky,-34.6177,-68.3301,Hotel San Rafael
686,Illapel,CL,78.24,clear sky,-31.6308,-71.1653,Hotel Londres
689,Ugoofaaru,MV,82.08,broken clouds,5.6667,73.0,Ungoofaaru Inn
690,Ouesso,CG,84.65,overcast clouds,1.6136,16.0517,Hôtel ABENI
